nome_liga_padronizado;pais_liga;genero_liga;nome_liga;nome_clube
Saudi Pro League;Arabia Saudita;Masculino;Pro League;Al Nassr
Saudi Pro League;Arabia Saudita;Masculino;Pro League;Al Fayha
Pro League;Belgica;Masculino;Pro League;Genk
Saudi Pro League;Arabia Saudita;Masculino;Pro League;Al Wahda
Pro League;Belgica;Masculino;Pro League;AS Eupen
Saudi Pro League;Arabia Saudita;Masculino;Pro League;Abha
Pro League;Belgica;Masculino;Pro League;Anderlecht
Saudi Pro League;Arabia Saudita;Masculino;Pro League;Al Riyadh
Saudi Pro League;Arabia Saudita;Masculino;Pro League;Al Tai
Pro League;Belgica;Masculino;Pro League;Sint-Truiden
Saudi Pro League;Arabia Saudita;Masculino;Pro League;Al Ettifaq
Pro League;Belgica;Masculino;Pro League;Antwerp
Saudi Pro League;Arabia Saudita;Masculino;Pro League;Al Hilal
Saudi Pro League;Arabia Saudita;Masculino;Pro League;Al Taawon
Saudi Pro League;Arabia Saudita;Masculino;Pro League;Al Ahli Jeddah
Saudi Pro League;Arabia Saudita;Masculino;Pro League;Al Shabab
Pro League;Belgica;Masculino;Pro League;Westerlo
Saudi Pro League;Arabia Saudita;Masculino;Pro League;Al Ittihad
Pro League;Belgica;Masculino;Pro League;Union Saint-Gilloise
Pro League;Belgica;Masculino;Pro League;Club Brugge
Saudi Pro League;Arabia Saudita;Masculino;Pro League;Al Hazem
Saudi Pro League;Arabia Saudita;Masculino;Pro League;Damac
Pro League;Belgica;Masculino;Pro League;OH Leuven
Saudi Pro League;Arabia Saudita;Masculino;Pro League;Al Khaleej
Pro League;Belgica;Masculino;Pro League;RWDM
Pro League;Belgica;Masculino;Pro League;Mechelen
Saudi Pro League;Arabia Saudita;Masculino;Pro League;Al Okhdood
Saudi Pro League;Arabia Saudita;Masculino;Pro League;Al Raed
Pro League;Belgica;Masculino;Pro League;Gent
Chinese Super League;China;Masculino;CSL;Shandong Taishan
Hero Indian Super Legue;India;Masculino;Super League;Jamshedpur
Chinese Super League;China;Masculino;Super League;Shandong Taishan
Chinese Super League;China;Masculino;CSL;Shanghai Port FC
Hero Indian Super Legue;India;Masculino;ISL;Hyderabad FC
Chinese Super League;China;Masculino;CSL;Shanghai Shenhua
Liga da Grecia;Grecia;Masculino;Super League;PAOK
Superliga Suica;Suiça;Masculino;Super League;Winterthur
Superliga Suica;Suiça;Masculino;Super League;Grasshopper
Chinese Super League;China;Masculino;Super League;Shanghai Shenhua
Superliga Suica;Suiça;Masculino;Super League;Luzern
Liga da Grecia;Grecia;Masculino;Super League;AEK Athens
Chinese Super League;China;Masculino;Super League;Shenzhen
Hero Indian Super Legue;India;Masculino;Super League;Hyderabad
Hero Indian Super Legue;India;Masculino;Super League;Goa
Superliga Suica;Suiça;Masculino;Super League;Young Boys
Hero Indian Super Legue;India;Masculino;ISL;FC Goa
Chinese Super League;China;Masculino;CSL;SZ Peng City
Superliga Suica;Suiça;Masculino;Super League;St. Gallen
Chinese Super League;China;Masculino;Super League;Tianjin Jinmen Tiger
Chinese Super League;China;Masculino;CSL;Tianjin JMT FC
Superliga Suica;Suiça;Masculino;Super League;Lausanne Sport
Hero Indian Super Legue;India;Masculino;ISL;East Bengal
Hero Indian Super Legue;India;Masculino;Super League;East Bengal
Superliga Suica;Suiça;Masculino;Super League;Servette
Hero Indian Super Legue;India;Masculino;ISL;Chennaiyin FC
Superliga Suica;Suiça;Masculino;Super League;Lugano
Superliga Suica;Suiça;Masculino;Super League;Stade Lausanne-Ouchy
Chinese Super League;China;Masculino;CSL;Wuhan Three Towns
Chinese Super League;China;Masculino;Super League;Dalian Professional
Liga da Grecia;Grecia;Masculino;Super League;Panathinaikos
Superliga Suica;Suiça;Masculino;Super League;Yverdon Sport
Chinese Super League;China;Masculino;Super League;Wuhan Three Towns
Chinese Super League;China;Masculino;Super League;Meizhou Hakka
Hero Indian Super Legue;India;Masculino;Super League;Chennaiyin
Chinese Super League;China;Masculino;Super League;Zhejiang
Chinese Super League;China;Masculino;CSL;Zhejiang Pro
Superliga Suica;Suiça;Masculino;Super League;Zürich
Hero Indian Super Legue;India;Masculino;ISL;Bengaluru FC
Hero Indian Super Legue;India;Masculino;Super League;Bengaluru
Hero Indian Super Legue;India;Masculino;Super League;ATK Mohun Bagan
Superliga Suica;Suiça;Masculino;Super League;Basel
