nome_liga_padronizado;pais_liga;genero_liga;nome_liga;nome_clube
EFL Championship;Inglaterra;Masculino;Championship;Preston North End
EFL Championship;Inglaterra;Masculino;EFL Championship;Preston
EFL League One;Inglaterra;Masculino;League One;Portsmouth
EFL Championship;Inglaterra;Masculino;EFL Championship;Portsmouth
Liga Portugal;Portugal;Masculino;Primeira Liga;Porto
MLS;Estados Unidos;Masculino;Major League Soccer;Portland Timbers
MLS;Estados Unidos;Masculino;MLS;Portland Timbers
NWSL;Estados Unidos;Feminino;NWSL;Portland Thorns
Liga Portugal;Portugal;Masculino;Primeira Liga;Portimonense
EFL League Two;Inglaterra;Masculino;EFL League Two;Port Vale
EFL League One;Inglaterra;Masculino;League One;Port Vale
Liga I;Romenia;Masculino;SUPERLIGA;Politehnica Iași
